id,website_id,status_code,response_time,checked_at,created_at
451,2,200,134.0,2025-07-13 18:39:00 UTC,2025-07-13 18:39:00 UTC
452,2,200,185.0,2025-07-13 18:40:00 UTC,2025-07-13 18:40:00 UTC
